Symbol,Full Name,GICS Sector,governanceScore,Stock_return,marketCap,environmentScore
HPE,Hewlett Packard Enterprise,Information Technology,-0.5084513646448521,-0.1809235696563165,-0.275556386170882,-0.9494436953699245
HPQ,HP Inc.,Information Technology,-0.28216703772340485,0.07922978180408291,-0.24492507438335182,-1.1144160090446664
HRL,Hormel Foods,Consumer Staples,-0.32372946511713996,-1.0597502248186899,-0.2941823086540442,1.4780060629869927
HSIC,Henry Schein,Health Care,-0.19442413544774148,-0.7491194439553488,-0.3224915954613481,-0.743228303276497
HST,Host Hotels & Resorts,Real Estate,-0.5453957445503945,-0.3496986604374831,-0.27129691192359373,-0.49773378887955966
HSY,Hershey Company (The),Consumer Staples,-0.7208815491017209,-0.8122999323206779,-0.22098604060474714,0.9300623068530282
HUBB,Hubbell Incorporated,Industrials,-0.827096641330155,0.7063595098077167,-0.2805598248296655,-0.03620410181331744
HUM,Humana,Health Care,-0.44379869981015263,-1.0654881540871508,-0.22955525785411116,-1.1340555701964214
IBM,IBM,Information Technology,-0.25907680028244096,0.21328996811170076,0.2822052738857611,-0.786435337810358
ICE,Intercontinental Exchange,Financials,0.9785599265532295,0.4566617268744906,-0.051178160613811155,-0.802146986731762
IDXX,Idexx Laboratories,Health Care,1.0339764964115428,-0.21750607538874378,-0.2160338839714628,-0.621463024135616
IEX,IDEX Corporation,Industrials,-0.6285205993378647,-0.7252620595485727,-0.30170825185116895,0.8829273600888161
IFF,International Flavors & Fragrances,Materials,-0.032792473360993675,-0.574866212399568,-0.2658893032647667,0.9241704385075018
INCY,Incyte,Health Care,0.3274152307180448,-0.8573477398609362,-0.31038727408931194,-0.9278401781029939
INTC,Intel,Information Technology,-0.03741052084918637,-0.8588599065062096,-0.05654452125905668,-0.16778916153007586
INTU,Intuit,Information Technology,-0.9102214961176253,0.5387909066816154,0.23045945990652913,-0.9455157831395735
IP,International Paper,Materials,-0.8732771162120833,0.10568006050854055,-0.2958797344865157,1.8393739881792843
IPG,Interpublic Group of Companies (The),Communication Services,-0.6562288842670214,-0.6091618412587936,-0.3138074805509269,-1.128163701850895
IQV,IQVIA,Health Care,0.2396723284423814,-0.13147163066085255,-0.21094007998830078,-0.8807052313387821
IRM,Iron Mountain,Real Estate,-0.43456260483376724,1.7275647713274382,-0.24010848547567507,-0.15404146872384733
ISRG,Intuitive Surgical,Health Care,0.525991272710335,0.9712433481639419,0.20950844302244584,-0.4191755442725397
IT,Gartner,Information Technology,-0.4899791746920809,0.26610640486014664,-0.22521045831728306,-1.1144160090446664
ITW,Illinois Tool Works,Industrials,-0.08359099573111461,-0.28211922817778523,-0.10813331775605707,0.2387497543112525
IVZ,Invesco,Financials,2.0037664689320303,-0.6573083633615957,-0.3274910797324841,-0.9926507299037853
J,Jacobs Solutions,Industrials,-0.4992152696684663,-0.11365846149967439,-0.2936353661788522,-0.09708674138375784
JBHT,J.B. Hunt,Industrials,-0.7855342139364199,-0.5409387141194876,-0.29644878797616625,-0.4918419205340332
JCI,Johnson Controls,Industrials,-0.6054303618969009,-0.3245413675092781,-0.19510184288434382,-0.25420323059779776
JKHY,Jack Henry & Associates,Financials,-0.4715069847393097,-0.5780896209248914,-0.3100182790582598,-0.2875904845557812
JNJ,Johnson & Johnson,Health Care,0.6137341749859979,-0.6700584709602688,0.9405978420742621,-0.955335563715451
JNPR,Juniper Networks,Information Technology,-0.416090414880996,-0.20028603317155502,-0.31021716962366774,-0.778579513349656
JPM,JPMorgan Chase,Financials,2.3085576031527553,0.6321232822827803,1.5612086247142274,-0.9180203975271164
K,Kellanova,Consumer Staples,-1.0718531582043735,-0.18364728100234037,-0.26233957251357454,0.9536297802351343
KEY,KeyCorp,Financials,1.8282806643807046,-0.6026069525631619,-0.30208365220064853,-0.8237505039986925
KEYS,Keysight,Information Technology,-0.9471658760231677,-0.7219418400219596,-0.2675865711849195,-0.900344792490537
KHC,Kraft Heinz,Consumer Staples,-0.24522265781786243,-0.7802095209284117,-0.21538067966514277,1.5133572730601514
KIM,Kimco Realty,Real Estate,-0.33758360758171846,-0.3781400019201825,-0.29938409505464014,-0.6744898392453545
KLAC,KLA Corporation,Information Technology,-0.9517839235113608,1.5426092970967256,-0.03207956050300758,0.319271955033448
KMB,Kimberly-Clark,Consumer Staples,0.43363032294647896,-0.4492779314673759,-0.19545859313101643,0.9123867018164487
KMI,Kinder Morgan,Energy,-1.4828593846535325,-0.1959091492155166,-0.19775757278223183,0.4901361370537163
KMX,CarMax,Consumer Discretionary,-1.2519570102438926,0.15344606934058755,-0.31168255975300324,-1.1183439212750175
KO,Coca-Cola Company (The),Consumer Staples,-0.850186878771119,-0.27841556910677506,0.642684462052275,0.2839207449602891
KR,Kroger,Consumer Staples,-0.5084513646448521,-0.19791863622659184,-0.2209734470973305,0.15037172912835503
L,Loews Corporation,Financials,2.2300507958534777,0.16097583583293856,-0.2955752005798946,-1.0201461155162426
